creator,date,caption,likes,comments,engagement,first_seen,last_seen
jasoncooperson,7/24/2026,"Comment ""EDIT"" for the FULL tutorial 👇  Everything you just watched was edited by Claude inside Pre",676,994,1670,2026-08-30,2026-08-30
jasoncooperson,7/2/2026,"Comment ""X7"" and I'll send you the link 👇  Hbada sent me the first ever ""AI"" chair to review, hones",486,94,580,2026-08-30,2026-08-30
jasoncooperson,6/29/2026,"Comment ""EDIT"" for the full tutorial!  This entire video was edited by Claude — end to end.  I built",2833,6799,9632,2026-08-30,2026-08-30
jasoncooperson,6/17/2026,"Comment ""LARP"" and I'll send you the full video. 👇  Every AI guru is hyping ""build a second brain w",1153,1601,2754,2026-08-30,2026-08-30
jasoncooperson,6/13/2026,"Comment ""BUILD"" and I'll send you the full video guide.  I just replaced my $2,000/mo content resear",581,1296,1877,2026-08-30,2026-08-30
jasoncooperson,6/11/2026,"Claude this, Claude that — but where does AI actually belong in content creation?  I tier-ranked eve",428,14,442,2026-08-30,2026-08-30
jasoncooperson,6/10/2026,"Comment ""FABLE"" and I'll send you the official release article.  Anthropic just dropped Fable 5 — a ",479,70,549,2026-08-30,2026-08-30
jasoncooperson,6/7/2026,"just hacked the algo broh. comment ""SKILL"" to tap in.  i built a Claude system that tells me exactly",4094,10742,14836,2026-08-30,2026-08-30
jasoncooperson,6/3/2026,"Comment ""COUNCIL"" and I'll send you the skill for free 👇  Stanford just proved Claude agrees with y",17863,37543,55406,2026-08-30,2026-08-30
jasoncooperson,6/2/2026,"Comment ""inbox"" and I'll send you the exact prompt — free.  Claude just replaced my personal assista",440,762,1202,2026-08-30,2026-08-30
jasoncooperson,5/29/2026,"Comment ""Opus"" and I'll send you the full breakdown.  Opus 4.8 just dropped and it's officially the ",885,77,962,2026-08-30,2026-08-30
jasoncooperson,5/28/2026,"Comment AUTOPOSTER and I'll send you the files.  I built a Claude + Zernio workflow that can take a ",3374,6779,10153,2026-08-30,2026-08-30
