creator,date,caption,likes,comments,engagement,first_seen,last_seen
_roshnichellani,10/7/2025,"Hey! I'm Roshni🙋🏻‍♀️ Swipe to know more about me!  …and if you're wondering who is this in your fe",349,24,373,2026-08-30,2026-08-30
_roshnichellani,8/29/2026,"✅SAVE this post!  If you're learning AI in 2026, don't stop at prompting. 👀  The real advantage is ",474,330,804,2026-08-30,2026-08-30
_roshnichellani,8/28/2026,"You probably guessed Sundar Pichai. Maybe Satya Nadella. You'd be wrong. 👀  Jayshree Ullal didn't f",1077,35,1112,2026-08-30,2026-08-30
_roshnichellani,8/26/2026,"7 AI commands you'll wish you knew earlier 👀  From fixing terrible prompts and finding your blind s",2981,1578,4559,2026-08-30,2026-08-30
_roshnichellani,8/25/2026,"ChatGPT isn't always lying… sometimes it just doesn't know. 👀  Ask AI about something it has never ",337,25,362,2026-08-30,2026-08-30
_roshnichellani,8/24/2026,"If Claude agrees with everything you say, might as well you're using it wrong. 👀  Instead of asking",609,570,1179,2026-08-30,2026-08-30
_roshnichellani,8/23/2026,"What's really happening behind the AI boom? 👀  Every ChatGPT prompt, AI-generated image, cloud appl",208,17,225,2026-08-30,2026-08-30
_roshnichellani,8/22/2026,"Millions of books were bought, scanned… and then destroyed 📚💀  Why? Because in the age of AI-gener",1090,54,1144,2026-08-30,2026-08-30
_roshnichellani,8/21/2026,"The AI revolution depends on one machine worth $380 MILLION 🤯  Not NVIDIA. Not OpenAI. Not even the",687,26,713,2026-08-30,2026-08-30
_roshnichellani,8/20/2026,"AI just had one of its craziest weeks yet. 🤯  Robots fighting in MMA, China challenging the US in A",889,23,912,2026-08-30,2026-08-30
_roshnichellani,8/19/2026,"India just lost a 24-year-old building the future of data storage. 🙃  Imagine storing 1,000,000 GB ",5086,128,5214,2026-08-30,2026-08-30
_roshnichellani,8/18/2026,"OpenAI's AI hacked Hugging Face… and nobody noticed for a week💀  It was supposed to prove how good ",1216,33,1249,2026-08-30,2026-08-30
