creator,date,caption,likes,comments,engagement,first_seen,last_seen
forseth.ai,8/7/2026,"comment «SD» for the claude editing pipeline breakdown!👇  THIS ONE is insane, breaking it all down ",550,1208,1758,2026-08-30,2026-08-30
forseth.ai,8/5/2026,"comment ""DAN"" and i'll send you the breakdown👇",163,349,512,2026-08-30,2026-08-30
forseth.ai,8/3/2026,"comment ""BREAKDOWN"" to see how the workflow👇",50,50,100,2026-08-30,2026-08-30
forseth.ai,8/3/2026,"Comment ""breakdown"" to edit with this pipeline  You should focus on recording ans doing what you are",83,84,167,2026-08-30,2026-08-30
forseth.ai,7/28/2026,"comment ""DAY 5"" and i'll send the breakdown on how this works.  this entire video was edited by clau",1755,2537,4292,2026-08-30,2026-08-30
forseth.ai,7/24/2026,"comment ""Kallaway"" and i'll send the breakdown over 👇  Day 1 of recreating editing styles with Clau",6334,13293,19627,2026-08-30,2026-08-30
forseth.ai,7/13/2026,"comment ""edit"" and i'll send the breakdown over👇  Day 4 of letting claude code edit every video I p",2521,5318,7839,2026-08-30,2026-08-30
forseth.ai,7/7/2026,"comment ""pipeline"" and i'll send you the full breakdown.  day one of letting claude code edit everyt",160,397,557,2026-08-30,2026-08-30
forseth.ai,6/26/2026,"comment ""edit"" and i'll send you the full breakdown i did!  this entire video cost me $600 to make. ",128,202,330,2026-08-30,2026-08-30
forseth.ai,6/19/2026,"Comment ""Carl"" and I'll send you the full breakdown.  I don't edit my videos anymore. Claude Code do",189,386,575,2026-08-30,2026-08-30
