creator,date,caption,likes,comments,engagement,first_seen,last_seen
projectonepercent01,8/24/2026,"Comment ""Secret"" and we'll dm you the complete prompt for free.  (chatgpt, chatgpt prompt, chatgpt t",3378,8869,12247,2026-08-30,2026-08-30
projectonepercent01,8/21/2026,"Comment ""Agent"" we'll dm you the complete prompt + setup process and website link for free.  (ai age",2960,10707,13667,2026-08-30,2026-08-30
projectonepercent01,8/2/2026,"Comment ""Profile"" and follow us first. We'll DM you the website link + our LinkedIn frameworks for f",4622,12133,16755,2026-08-30,2026-08-30
projectonepercent01,8/17/2026,"Comment ""Leads"" and we'll dm you the complete linkedin × claude framework + prompt.  (linkedin, clau",3169,5274,8443,2026-08-30,2026-08-30
projectonepercent01,8/4/2026,"Comment ""OUTREACH"" and we'll send you our complete Outreach Framework + DM Template that helped us g",2396,2101,4497,2026-08-30,2026-08-30
projectonepercent01,8/29/2026,"To get the website link..  Follow us + join our broadcast channel. The link is waiting for you there",227,96,323,2026-08-30,2026-08-30
projectonepercent01,8/26/2026,"Comment ""Strategist"" and we'll dm you the complete content strategist system for free.  (chatgpt, ch",175,571,746,2026-08-30,2026-08-30
projectonepercent01,8/21/2026,"Comment ""Journey"" and follow us to get the complete strategy PDF where we've shared exactly what we ",3,597,600,2026-08-30,2026-08-30
projectonepercent01,8/19/2026,"Comment ""Content Calendar"" and we'll dm you the exact prompt + complete 30-day linkedin content fram",497,1543,2040,2026-08-30,2026-08-30
projectonepercent01,8/16/2026,"I WOULDN'T TRY TO GO VIRAL IF I HAD TO BUILD A CREATOR ACCOUNT FROM ZERO. 🤯🥳  I'd do this instead:",164,105,269,2026-08-30,2026-08-30
projectonepercent01,8/16/2026,"Comment ""Prompt"" and i'll send you the complete claude prompt directly to your dm.  (claude, linkedi",659,1642,2301,2026-08-30,2026-08-30
projectonepercent01,8/8/2026,"Comment ""BLUEPRINT"" 💙 and follow us. We'll DM you the free outreach cold DM website + Ankur warikoo",1916,5089,7005,2026-08-30,2026-08-30
